company_name,Group,ticker,file_name,date,D+1,WA_sentiment_QA,WA_sentiment_MD,QA_sentiment&topic_1,QA_sentiment&topic_2,QA_sentiment&topic_3,QA_sentiment&topic_4,QA_sentiment&topic_5,QA_sentiment&topic_6,QA_sentiment&topic_7,QA_sentiment&topic_8,QA_sentiment&topic_9,QA_sentiment&topic_10,QA_sentiment&topic_11,QA_sentiment&topic_12,QA_sentiment&topic_13,QA_sentiment&topic_14,QA_sentiment&topic_15,QA_sentiment&topic_16,QA_sentiment&topic_17,QA_sentiment&topic_18,QA_sentiment&topic_19,QA_sentiment&topic_20,QA_sentiment&topic_21,QA_sentiment&topic_22,QA_sentiment&topic_23,QA_sentiment&topic_24,QA_sentiment&topic_25,QA_sentiment&topic_26,QA_sentiment&topic_27,MD_sentiment&topic_1,MD_sentiment&topic_2,MD_sentiment&topic_3,MD_sentiment&topic_4,MD_sentiment&topic_5,MD_sentiment&topic_6,MD_sentiment&topic_7,MD_sentiment&topic_8,MD_sentiment&topic_9,MD_sentiment&topic_10,MD_sentiment&topic_11,MD_sentiment&topic_12,MD_sentiment&topic_13,MD_sentiment&topic_14,MD_sentiment&topic_15,MD_sentiment&topic_16,MD_sentiment&topic_17,MD_sentiment&topic_18,MD_sentiment&topic_19,MD_sentiment&topic_20,MD_sentiment&topic_21,MD_sentiment&topic_22,MD_sentiment&topic_23,MD_sentiment&topic_24,MD_sentiment&topic_25,MD_sentiment&topic_26,MD_sentiment&topic_27,MD_sentiment&topic_28
Admiral Group,Motor/Personal,ADM.L,20110302_Admiral_Group_PLC-_Earnings_Call_2011-3-2_SD000000002736694887.pdf,2011-03-02,0.0138972809667673,0.0064367753524576,0.0003920242117055,0.00013874930552305675,5.205698906247968e-05,0.00025304237344272014,9.175537446472876e-05,0.0005589239241608791,3.6481416343007696e-05,0.00011477597806038844,0.00010339798404499843,5.699652347958311e-05,0.0009206848046431854,0.0003495409567469478,0.00010867444762702386,0.0004899146107002786,0.0001442170874295696,0.00024398281172022907,0.0007225176750846753,0.00015499477815916998,9.095509210086114e-05,6.450794312144086e-05,0.00014746284099744226,8.523906281331487e-05,4.518156311282259e-05,0.0005579546135969358,0.0001038590710397979,0.0002971847728810042,0.00010603063198464379,0.00039769245432852787,7.184233181559016e-07,1.1996035901223152e-06,3.420231351371978e-06,1.951577271050213e-07,2.3481992748718753e-05,1.638127012043946e-07,1.7216958300419756e-06,1.8007396241660823e-05,1.427721170886937e-07,3.819581682421399e-05,3.463602752779625e-06,1.1464347120132385e-07,8.955109398796202e-08,2.5736086290365335e-05,0.0002053751575740463,1.1289709687790046e-05,3.345336666223083e-06,1.7576465689217218e-06,1.8175107441662404e-05,2.0066417331900187e-07,2.0919532847643135e-07,2.11752890550806e-06,1.0824849336235326e-05,6.002096335227029e-08,9.716372666181163e-06,6.228824813156232e-07,6.175840233917253e-07,1.1061364430700096e-05
Admiral Group,Motor/Personal,ADM.L,20110824_Admiral_Group_PLC-_Earnings_Call_2011-8-24_SD000000002736694923.pdf,2011-08-24,-0.0546932742054693,0.0189450556020566,0.0007653887422494,6.251610366955808e-05,0.0006115013611990973,0.0008531913595150057,0.0007510737464808585,0.0007807494032806356,0.000835092062990301,0.0006311258254345461,0.0002982244332570843,0.00020650852210280313,0.0001828975064993127,0.0002780344835368744,0.0003659121596884999,0.00045623855934410985,0.0012103787935114185,0.0006800317382401717,0.00536354790185092,0.0007314237712154227,0.0015363722385075154,0.00015099551112281604,0.0003462652513354297,0.0001749729467253317,7.676295592012007e-05,1.1480673419283404e-05,0.00034705070062001633,0.0004392091878621767,0.0012136210371326847,0.00034987681330346553,1.8966263733414958e-06,3.773777832465268e-06,1.3277305537961942e-06,5.3748278336743066e-05,1.540128694353422e-05,9.0333066751301e-06,5.942821430238563e-05,1.4451494765699567e-05,1.8563243043928602e-06,8.493744167976687e-05,3.8477458220195443e-07,2.752938020035964e-07,1.0809434238545037e-05,2.2888209793452384e-05,0.0003254254686715463,1.3896710732927182e-05,1.0078191087242707e-07,7.225397035001135e-05,2.7697775685909523e-05,2.2997042299230027e-05,5.023415184465703e-07,2.37143143933589e-06,6.635866776074326e-07,3.92784139272793e-06,4.579980881496784e-06,1.0148057552388067e-05,2.2338129833535914e-07,3.8814413285120955e-07
Admiral Group,Motor/Personal,ADM.L,20111109_Admiral_Group_PLC-_Guidance_Call_2011-11-9_SD000000002870249474.pdf,2011-11-09,-0.076056338028169,0.0107924742768509,-0.0003743871638686,0.0001225910387502764,5.962646601637691e-05,0.003369763319421355,0.00037331072055212715,8.196441337786417e-05,4.178608764040565e-05,0.0006488694023227316,0.0003866579494359696,6.528424634191596e-05,8.868717113883432e-05,9.604000680463966e-05,8.391517360925287e-05,0.00023266190707499742,0.0015157547788627857,0.0006523405899595759,0.00030306487637960677,0.00021783961950342496,0.0003901183454238732,0.0002777894672321078,0.00018434298446210777,0.00017233800978219894,0.00016166017102715367,0.00016788015625674547,0.0001591299925362726,0.0006001879369497511,6.0606244295892233e-05,0.00027826288404222775,-2.9038385678200096e-05,-4.3367638805518867e-07,-5.304374993313561e-07,-1.1165669612239859e-05,-4.830904020204152e-07,-3.654281015004168e-07,-1.5618132604365042e-07,-7.55062721735119e-05,-3.184914598127491e-07,-0.00010063908839695115,-3.574486530975438e-07,-2.557429731094474e-07,-1.9976771178127442e-07,-4.4583071757527976e-07,-0.00010392207446142834,-1.257431254791038e-07,-9.362457049470905e-08,-2.3637895765851463e-07,-2.634243007576035e-07,-7.60118109047553e-06,-4.666662243350817e-07,-6.669695718317029e-07,-3.996096083790694e-05,-1.3389283018865516e-07,-2.415438532164177e-07,-2.1107703824093663e-07,-2.0751718912490693e-07,-3.6057888171138187e-07
Admiral Group,Motor/Personal,ADM.L,20120307_Admiral_Group_PLC-_Earnings_Call_2012-3-7_SD000000002736694971.pdf,2012-03-07,0.0157342657342657,0.0273927392739273,0.0016688340421846,0.00034331072052695103,0.000562127214021713,0.002729895051918493,0.00044903755070477725,0.00324244905274753,0.00018507046244938536,0.0008281649708542257,0.0008352703186346509,0.00019989654451658275,0.0038460212008469066,0.0008562025885673621,0.0006952345277871882,0.0007227770691257078,0.0012419255526141077,0.0008931892478190903,0.001918461665023693,0.0008342303480987316,0.0007894950147450514,0.0004453859578532923,0.00048025044306993945,0.0005049035622806672,0.00015845945531321845,0.0009627575621618907,0.0002753442075477698,0.002284570495265284,0.0004528273283958954,0.0006554804156780257,3.04905415181864e-06,4.7304799483579734e-06,1.452080632342181e-06,2.2875207109416728e-05,1.3224671544930957e-06,1.0003648735207617e-06,9.866462714927196e-06,7.032821674661597e-05,8.718751225768798e-07,0.0001860696351465562,9.256027586632586e-06,7.001002167019959e-07,5.468670730760181e-07,5.650075253808316e-05,0.0007033673138557802,1.85252061988141e-05,2.5629866812650884e-07,3.5859620189188314e-06,0.0001253637447024087,5.458382232928903e-05,2.9330070652909616e-06,6.063169225212793e-05,8.323455840476875e-05,3.665336393289472e-07,0.00021867568377457683,2.387439997456906e-05,3.879083953043966e-06,9.870900892926018e-07
Admiral Group,Motor/Personal,ADM.L,20120830_Admiral_Group_PLC-_Earnings_Call_2012-8-30_SD000000002736695019.pdf,2012-08-30,0.0206540447504302,-0.0081862712205596,0.0009522759933836,-3.448174636474901e-05,-0.00015478940999670126,-0.0003082710324257092,-0.0003965707978993805,-0.0007426164635697327,-6.550719888545371e-05,-0.00017514930696938406,-0.00012983489912886696,-5.34116695234235e-05,-0.0013282148261641133,-5.574510009981323e-05,-0.00018821789559463883,-0.00015527237037144857,-0.00011839056820906759,-0.00012663646864134048,-0.0009760380124826232,-0.0002752539721301762,-0.0007287758363760539,-0.00029264780477078944,-2.6816308372576012e-05,-0.00021521438236019272,-8.664705179788819e-05,-0.00038126372006330836,-0.00013301558017046782,-0.0007797001807649875,-0.0001097200299721432,-0.00014806849394006526,2.874455141054712e-06,7.402085310261955e-06,7.483481683795495e-07,2.9490899145632997e-06,8.6427366123634e-06,8.476737841439083e-06,2.2034265322245887e-07,1.593424972222093e-05,4.4933189382617497e-07,0.00010988147293450245,1.2341339059695158e-05,3.60805519765502e-07,2.5435553961480436e-05,4.0034133197277484e-05,0.0004310903410511696,2.5759226408491105e-05,1.3208677672940807e-07,3.334865329810017e-07,3.404958279603396e-05,3.841379383048068e-05,6.583787872020994e-07,1.6996290548374095e-06,7.774095067303564e-05,1.8889776649100848e-07,9.530088161796876e-05,4.385643772147781e-06,2.9276796064544456e-07,6.479599669262987e-06
Admiral Group,Motor/Personal,ADM.L,20130306_Admiral_Group_PLC-_Earnings_Call_2013-3-6_SD000000002736695055.pdf,2013-03-06,0.0164917541229385,0.0049956519998981,0.0011356123301471,2.4035032228317135e-05,0.0001742765266298272,0.00020928458488690468,9.974385330620664e-05,0.0003942315511880471,0.00038318732258905877,3.6066459315127914e-05,7.451177462203483e-05,0.00011575167634099109,0.0005190412154901908,3.005524660001514e-05,6.595098262408047e-05,7.890777364657678e-05,0.00017466101452653896,7.539111276486595e-05,0.0006119246103010053,0.00027568043711121267,9.110402129140098e-05,0.00016126667959673937,9.123484860749447e-05,0.00036137545135493735,0.00020351753588842213,0.00011132143618688993,7.387796949646568e-05,0.00021873736361457304,0.000272563001808972,6.795239775405088e-05,1.0812909993543814e-06,1.1054297904559065e-06,1.200850088514724e-05,1.9936077377772928e-05,3.6182762312385505e-05,9.314667585622871e-07,3.9810212744702676e-07,1.0043963380655793e-06,8.118264206682566e-07,7.791837768801982e-05,5.597545058236361e-06,2.674192313098267e-06,2.6010221982967898e-06,0.00012245557393068975,0.0005175186581671897,1.8969267240296597e-05,2.2609566589213344e-06,1.925127527787593e-05,2.8737824714923658e-05,1.6800412007424625e-05,3.853627472813056e-06,5.883727198940658e-06,7.596192387368334e-05,8.708567716174613e-06,0.00015097343717413329,5.38029877640057e-07,5.289558917451732e-07,9.191061871972932e-07
Admiral Group,Motor/Personal,ADM.L,20130829_Admiral_Group_PLC-_Earnings_Call_2013-8-29_SD000000002736695103.pdf,2013-08-29,-0.0070866141732283,0.0123269041690021,0.0010815356337851,5.154375001519772e-05,0.0003981326215415722,0.0005386713769375177,0.0005200995968679218,0.0004370643113111743,0.0005845857264260486,0.00012293292052493841,0.0003515258774228773,0.0001318014797948213,0.0017672873060392848,0.00038799312009585974,0.00030022872341862154,0.00028582059327508384,5.518021310188019e-05,0.00026311204650190744,0.0031671192938285413,9.778470514093616e-05,0.0003459766716119357,0.00021554115949750657,0.000326225805915265,0.0002167109283038092,0.0003310960395684616,0.0003330219283458541,0.0001852587895259307,0.00040222725565891343,0.00030704397778673733,0.00020291770414825513,8.556239122404254e-07,8.74724920510967e-07,4.431264475330776e-06,2.4398713899330568e-06,4.0979282970671975e-06,3.151058254124694e-05,3.1501759410006056e-07,2.7344829520002612e-05,2.9336045233848187e-06,0.0001767403821395157,3.5063622015701955e-06,5.15833350277015e-07,3.197609945887764e-05,3.745057394528029e-05,0.0005079118537257583,4.565943917092202e-06,7.845774605207684e-06,3.0641683889808937e-06,3.798861351462328e-05,8.090985513007664e-06,7.2308574762827675e-06,2.0679774793717848e-05,6.602376498103173e-05,1.2764202884820045e-05,6.934299553294346e-05,7.389214345556332e-06,4.185619839508532e-07,3.226195576624302e-06
Admiral Group,Motor/Personal,ADM.L,20140305_Admiral_Group_PLC-_Earnings_Call_2014-3-5_SD000000002736695151.pdf,2014-03-05,-0.0032765399737876,0.016232498466001,0.0032622713187136,0.00023240239218975657,0.0006177669507035433,0.0007364160241046357,0.0007648234927137241,0.0005505014811642868,0.0005310544217605443,0.00020975802073889673,0.00032318934541635414,0.00036720939000325936,0.0007226762812327094,0.000255419975619291,0.00016288569294196264,0.00014520756813931452,0.00038830497777240933,0.000800195404087421,0.003906572867030325,0.0019216549916107038,0.0006681787007169267,0.0007000209796646378,0.0003195968926590809,0.00029318727761053616,0.0001420641446178869,1.5023786364188794e-05,0.00013565672581226443,0.000185278500617153,0.00021001762607557398,0.0009274340559542946,3.090119575399794e-05,2.889635418824895e-05,7.144592192886409e-06,0.00012090259399439764,3.8621842467085373e-05,6.313230525628381e-05,4.1439732243457906e-05,0.0002504760869058614,5.320381223637243e-06,0.00035105941604347455,8.130339946134117e-05,2.1712783863766724e-05,8.075942186597795e-05,0.0001243064717021251,0.0013758567249037663,7.4310791314831346e-06,9.625088305931189e-07,0.0001426749409388537,0.00016241568642237964,4.6247780728584165e-05,3.300090885141234e-05,0.00011413544082077916,8.11683180819481e-05,6.116487296209352e-06,1.3445283433484334e-05,3.5108658470667737e-06,3.401315537594206e-06,2.5927313074626835e-05
Admiral Group,Motor/Personal,ADM.L,20140813_Admiral_Group_PLC-_Earnings_Call_2014-8-13_SD000000002845804089.pdf,2014-08-13,-0.0299051787016776,0.015006024024048,0.0024117129618623,0.0001606243049636541,0.0014304356213626194,0.0009608579016794689,0.0009629168711941193,0.0007028899961281094,0.001544769824883591,0.00010106144030632357,0.0005717792251324129,0.00038967369681995335,0.001977007098599404,0.00020184128724704282,0.00021873764546516777,0.00015824482512056146,0.0006996889532072077,0.00041874079132622104,0.0006745021199280129,0.00024149781210057453,0.00014908063125218095,0.0005443726641178234,8.834823604918148e-05,0.0004773126094357193,0.000177961128955727,0.00033899139645597175,0.0008240374242011656,0.00036510329746611026,0.00022381096481616667,0.0004017358330837926,2.657391416687633e-05,7.4322737410661434e-06,2.829548517381653e-06,2.0963178334239725e-05,9.004955181588269e-05,9.803589990833607e-06,2.5257805296574996e-06,9.433821210685785e-05,2.6399418845756197e-05,0.0004059571347571386,2.8625345052399428e-05,2.1007747389324614e-05,0.0001859208384256597,0.00010204302471959163,0.0010467786061388517,3.097138661409733e-05,3.304130979180787e-05,2.328405629792068e-05,2.863117579298697e-05,2.485423162735691e-05,2.4893689952701515e-06,3.824286645684152e-05,7.226555906869225e-05,7.142335360703174e-07,8.107084409795132e-05,1.1259625032140485e-06,1.1069729089527917e-06,2.6668320259149803e-06
Admiral Group,Motor/Personal,ADM.L,20150305_Admiral_Group_PLC-_Earnings_Call_2015-3-5_FS000000002425895293.pdf,2015-03-05,0.0006605019815059,-0.0150159415818163,0.0042499319953092,-9.12080134819814e-05,-0.00012903590492033127,-0.0012193512648475736,-0.00016247942519068855,-0.0010687691753028608,-0.00047183484887993897,-0.0004074065771081431,-0.0002723651809366973,-0.00014127974326529497,-0.0012499449862327498,-0.00014745191427631516,-0.0001815983872628839,-0.00016188936348231122,-9.764282914365893e-05,-0.00019750641798704048,-0.0023184624548067603,-0.0009141668565387915,-0.0010202864897494758,-0.0005649668213975055,-7.093208598332154e-05,-0.00015129391924920756,-0.0009933008131275628,-0.0020460324629530775,-0.00025373160309352763,-0.00010357499772212559,-0.0001311562149400703,-0.000448272120396734,1.3489266813347635e-05,6.576272217800633e-06,7.23687094644237e-06,6.953202904597207e-05,2.418712180541885e-05,4.208923124822232e-05,2.2101591801867525e-05,0.00015784687094312034,1.974870395116014e-05,0.00041474757908009126,0.00016187573603333114,6.890151666266707e-06,0.00018557311060364418,0.00015253381874669373,0.0018951804413055377,5.504143565693251e-06,2.457657987123323e-05,4.316652207992181e-05,0.00018193776381976605,2.0647865743369847e-05,8.450291538400817e-06,0.00030368714424148184,0.00014871283918231615,3.646903367971952e-05,0.0001978456562746779,2.8797685897438286e-06,3.363811762506238e-05,6.280741228423678e-05
